站点,子站,分类,子分类,设备名称,单位,数量,单价,合价,品牌型号
总调中心,全站设备汇总,通信施工,,直流配电屏,,0.0,1800.0,0.0,
总调中心,全站设备汇总,通信施工,,电力电缆 ZA-RVV 4*16+1*10,,0.0,70.0,0.0,
总调中心,全站设备汇总,通信施工,,电力电缆 ZA-RVV 1*95,,0.0,60.0,0.0,
总调中心,全站设备汇总,通信施工,,电力电缆 ZA-RVV 1*35,,0.0,25.0,0.0,
总调中心,全站设备汇总,通信施工,,铜接线端子95平方毫米,,0.0,14.0,0.0,
总调中心,全站设备汇总,通信施工,,铜接线端子 35平方毫米,,0.0,8.0,0.0,
总调中心,全站设备汇总,通信施工,,铜接线端子 16平方毫米,,0.0,5.0,0.0,
总调中心,全站设备汇总,通信施工,,铜接线端子 10平方毫米,,0.0,4.0,0.0,
沧州,全站设备汇总,通信系统,通信传输,STM-4 光口,端口,0.0,14700.0,0.0,
沧州,全站设备汇总,通信系统,通信传输,STM-4 光接口,端口,0.0,14700.0,0.0,
沧州,全站设备汇总,通信系统,通信传输,STM-64光接口,端口,0.0,78400.0,0.0,
沧州,全站设备汇总,通信系统,通信传输,以太网接口,端口,0.0,7300.0,0.0,
沧州,全站设备汇总,通信系统,通信传输,千兆以太网接口,端口,0.0,10700.0,0.0,
沧州,全站设备汇总,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
沧州,全站设备汇总,通信系统,通信传输,色散补偿板,项,0.0,11700.0,0.0,
沧州,全站设备汇总,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
沧州,全站设备汇总,通信系统,通信传输,"设备子架（含双路电源、
双路主控、双路交叉、
双路时钟及公务板卡）",套,0.0,98000.0,0.0,
沧州,全站设备汇总,通信系统,通信电源,开关电源,台,0.0,24100.0,0.0,
沧州,全站设备汇总,通信系统,通信电源,阀控蓄电池,组,0.0,21950.0,0.0,
沧州,全站设备汇总,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,IAD-8端口
沧州,全站设备汇总,通信系统,通信交换,IAD接入设备,台,0.0,4300.0,0.0,
沧州,全站设备汇总,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
沧州,全站设备汇总,通信系统,通信交换,MDF配线柜,套,0.0,6550.0,0.0,
沧州,全站设备汇总,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,综合机柜专用32回线
沧州,全站设备汇总,通信系统,通信交换,综合媒体网关,套,0.0,235600.0,0.0,
沧州,全站设备汇总,通信系统,通信交换,话机,部,0.0,95.0,0.0,
沧州,全站设备汇总,通信系统,通信交换,调度台,套,0.0,78000.0,0.0,
沧州,全站设备汇总,通信系统,通信交换,软交换,套,0.0,79500.0,0.0,
沧州,交河管理站,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
沧州,交河管理站,通信系统,通信传输,STM-4 光口,端口,0.0,14700.0,0.0,
沧州,交河管理站,通信系统,通信传输,以太网接口,端口,0.0,7300.0,0.0,
沧州,交河管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
沧州,交河管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
沧州,交河管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
沧州,交河管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
沧州,交河管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
沧州,李八里管理站,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
沧州,李八里管理站,通信系统,通信传输,STM-4 光口,端口,0.0,14700.0,0.0,
沧州,李八里管理站,通信系统,通信传输,以太网接口,端口,0.0,7300.0,0.0,
沧州,李八里管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
沧州,李八里管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
沧州,李八里管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
沧州,李八里管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
沧州,李八里管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
沧州,东光管理站,通信系统,通信交换,IAD接入设备,台,0.0,4300.0,0.0,
沧州,东光管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
沧州,东光管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
沧州,东光管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
沧州,东光末端管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
沧州,东光末端管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
沧州,东光末端管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
沧州,东光末端管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
沧州,泊头管理所,通信系统,通信传输,"设备子架（含双路电源、
双路主控、双路交叉、
双路时钟及公务板卡）",套,0.0,98000.0,0.0,
沧州,泊头管理所,通信系统,通信传输,STM-64光接口,端口,0.0,78400.0,0.0,
沧州,泊头管理所,通信系统,通信传输,STM-4 光接口,端口,0.0,14700.0,0.0,
沧州,泊头管理所,通信系统,通信传输,千兆以太网接口,端口,0.0,10700.0,0.0,
沧州,泊头管理所,通信系统,通信传输,色散补偿板,项,0.0,11700.0,0.0,
沧州,泊头管理所,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
沧州,泊头管理所,通信系统,通信传输,以太网接口,端口,0.0,7300.0,0.0,
沧州,泊头管理所,通信系统,通信电源,开关电源,台,0.0,24100.0,0.0,
沧州,泊头管理所,通信系统,通信电源,阀控蓄电池,组,0.0,21950.0,0.0,
沧州,泊头管理所,通信系统,通信交换,MDF配线柜,套,0.0,6550.0,0.0,
沧州,泊头管理所,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
沧州,泊头管理所,通信系统,通信交换,话机,部,0.0,95.0,0.0,
沧州,泊头管理所,通信系统,通信交换,软交换,套,0.0,79500.0,0.0,
沧州,泊头管理所,通信系统,通信交换,调度台,套,0.0,78000.0,0.0,
沧州,泊头管理所,通信系统,通信交换,综合媒体网关,套,0.0,235600.0,0.0,
沧州,南孟盐管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,IAD-8端口
沧州,南孟盐管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,综合机柜专用32回线
沧州,南孟盐管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
沧州,南孟盐管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
沧州,兴济管理站,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
沧州,兴济管理站,通信系统,通信传输,STM-4 光口,端口,0.0,14700.0,0.0,
沧州,兴济管理站,通信系统,通信传输,以太网接口,端口,0.0,7300.0,0.0,
沧州,兴济管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
沧州,兴济管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
沧州,兴济管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
沧州,兴济管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
沧州,兴济管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
沧州,肃宁管理站,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
沧州,肃宁管理站,通信系统,通信传输,STM-4 光口,端口,0.0,14700.0,0.0,
沧州,肃宁管理站,通信系统,通信传输,以太网接口,端口,0.0,7300.0,0.0,
沧州,肃宁管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
沧州,肃宁管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
沧州,肃宁管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
沧州,肃宁管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
沧州,肃宁管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
沧州,河间管理站,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
沧州,河间管理站,通信系统,通信传输,STM-4 光口,端口,0.0,14700.0,0.0,
沧州,河间管理站,通信系统,通信传输,以太网接口,端口,0.0,7300.0,0.0,
沧州,河间管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
沧州,河间管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
沧州,河间管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
沧州,河间管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
沧州,河间管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
沧州,献县管理所,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
沧州,献县管理所,通信系统,通信传输,STM-4 光口,端口,0.0,14700.0,0.0,
沧州,献县管理所,通信系统,通信传输,以太网接口,端口,0.0,7300.0,0.0,
沧州,献县管理所,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
沧州,献县管理所,通信系统,通信交换,IAD接入设备,台,0.0,4300.0,0.0,
沧州,献县管理所,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
沧州,献县管理所,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
沧州,献县管理所,通信系统,通信交换,话机,部,0.0,95.0,0.0,
沧州,小白庄管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,IAD-8端口
沧州,小白庄管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,综合机柜专用32回线
沧州,小白庄管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
沧州,小白庄管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,全站设备汇总,工程监控,硬件设备,后备电池,套,0.0,112.0,0.0,1265
石家庄,全站设备汇总,工程监控,硬件设备,线缆(视频监视）,套,0.0,265.0,0.0,定制
石家庄,全站设备汇总,视频监视,硬件设备,双鉴探测器,套,0.0,429.0,0.0,海康威视DS-1T21DN-B
石家庄,全站设备汇总,视频监视,硬件设备,报警主机,套,0.0,2829.0,0.0,海康威视DS-19A16-BNG
石家庄,全站设备汇总,视频监视,硬件设备,监视器,台,0.0,3835.0,0.0,海康威视DS-D5032FC
石家庄,全站设备汇总,视频监视,硬件设备,硬盘录像机（16路输入，1T×5硬盘）,套,0.0,6030.0,0.0,海康DS-8616N-E8
石家庄,全站设备汇总,视频监视,硬件设备,立杆（含基础及防雷接地）,套,0.0,5603.0,0.0,国产
石家庄,全站设备汇总,视频监视,硬件设备,线缆（安防监控）,套,0.0,265.0,0.0,定制
石家庄,全站设备汇总,通信系统,通信传输,STM-4 光口,端口,0.0,14700.0,0.0,
石家庄,全站设备汇总,通信系统,通信传输,STM-4 光接口,端口,0.0,14700.0,0.0,
石家庄,全站设备汇总,通信系统,通信传输,STM-64光接口,端口,0.0,78400.0,0.0,
石家庄,全站设备汇总,通信系统,通信传输,STM-64光接口板,块,0.0,78400.0,0.0,
石家庄,全站设备汇总,通信系统,通信传输,以太网接口,套,0.0,7300.0,0.0,
石家庄,全站设备汇总,通信系统,通信传输,千兆以太网接口,端口,0.0,10700.0,0.0,
石家庄,全站设备汇总,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
石家庄,全站设备汇总,通信系统,通信传输,色散补偿板,项,0.0,11700.0,0.0,
石家庄,全站设备汇总,通信系统,通信传输,设备子架（含双路电源、双路主控、双路交叉、双路时钟及公务板卡）,套,0.0,98000.0,0.0,
石家庄,全站设备汇总,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
石家庄,全站设备汇总,通信系统,通信电源,开关电源,台,0.0,24100.0,0.0,
石家庄,全站设备汇总,通信系统,通信电源,阀控蓄电池,组,0.0,21950.0,0.0,
石家庄,全站设备汇总,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,IAD-8端口
石家庄,全站设备汇总,通信系统,通信交换,IAD接入设备,台,0.0,4300.0,0.0,
石家庄,全站设备汇总,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,全站设备汇总,通信系统,通信交换,MDF配线柜,套,0.0,6550.0,0.0,
石家庄,全站设备汇总,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,综合机柜专用32回线
石家庄,全站设备汇总,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,全站设备汇总,通信系统,通信交换,调度台,套,0.0,78000.0,0.0,
石家庄,全站设备汇总,通信系统,通信交换,软交换,套,0.0,79500.0,0.0,
石家庄,新乐管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,新乐管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,新乐管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,新乐管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,新乐末端管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,新乐末端管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,新乐末端管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,新乐末端管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,永安管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,永安管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,永安管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,永安管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,正定管理站,通信系统,通信传输,设备子架（含双路电源、双路主控、双路交叉、双路时钟及公务板卡）,套,0.0,98000.0,0.0,
石家庄,正定管理站,通信系统,通信传输,STM-64光接口,端口,0.0,78400.0,0.0,
石家庄,正定管理站,通信系统,通信传输,STM-4 光接口,端口,0.0,14700.0,0.0,
石家庄,正定管理站,通信系统,通信传输,千兆以太网接口,端口,0.0,10700.0,0.0,
石家庄,正定管理站,通信系统,通信传输,色散补偿板,项,0.0,11700.0,0.0,
石家庄,正定管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
石家庄,正定管理站,通信系统,通信传输,以太网接口,套,0.0,7300.0,0.0,
石家庄,正定管理站,通信系统,通信电源,开关电源,台,0.0,24100.0,0.0,
石家庄,正定管理站,通信系统,通信电源,阀控蓄电池,组,0.0,21950.0,0.0,
石家庄,正定管理站,通信系统,通信交换,MDF配线柜,套,0.0,6550.0,0.0,
石家庄,正定管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,正定管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,正定管理站,通信系统,通信交换,软交换,套,0.0,79500.0,0.0,
石家庄,正定管理站,通信系统,通信交换,调度台,套,0.0,78000.0,0.0,
石家庄,正定新区管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,正定新区管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,正定新区管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,正定新区管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,北苏管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,北苏管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,北苏管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,北苏管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,无极管理站,通信系统,通信交换,IAD接入设备,台,0.0,4300.0,0.0,
石家庄,无极管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,无极管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,无极管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,深泽管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,深泽管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,深泽管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,深泽管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,西北管理站,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
石家庄,西北管理站,通信系统,通信传输,STM-64光接口板,块,0.0,78400.0,0.0,
石家庄,西北管理站,通信系统,通信传输,色散补偿板,项,0.0,11700.0,0.0,
石家庄,西北管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
石家庄,西北管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,西北管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,西北管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,西北管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,东北管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,东北管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,东北管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,东北管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,良村管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,良村管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,良村管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,良村管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,高新管理站,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
石家庄,高新管理站,通信系统,通信传输,STM-64光接口板,块,0.0,78400.0,0.0,
石家庄,高新管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
石家庄,高新管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,高新管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,高新管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,高新管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,于底管理站,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
石家庄,于底管理站,通信系统,通信传输,STM-4 光口,端口,0.0,14700.0,0.0,
石家庄,于底管理站,通信系统,通信传输,以太网接口,端口,0.0,7300.0,0.0,
石家庄,于底管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
石家庄,于底管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,于底管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,于底管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,于底管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,台头管理站,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
石家庄,台头管理站,通信系统,通信传输,STM-4 光口,端口,0.0,14700.0,0.0,
石家庄,台头管理站,通信系统,通信传输,以太网接口,端口,0.0,7300.0,0.0,
石家庄,台头管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
石家庄,台头管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,台头管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,台头管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,台头管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,万年管理站,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
石家庄,万年管理站,通信系统,通信传输,STM-4 光口,端口,0.0,14700.0,0.0,
石家庄,万年管理站,通信系统,通信传输,以太网接口,端口,0.0,7300.0,0.0,
石家庄,万年管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
石家庄,万年管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,万年管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,万年管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,万年管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,装备制造基地管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,装备制造基地管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,装备制造基地管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,装备制造基地管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,栾城管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,栾城管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,栾城管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,栾城管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,栾城二水厂管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,栾城二水厂管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,栾城二水厂管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,栾城二水厂管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,元氏管理站,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
石家庄,元氏管理站,通信系统,通信传输,STM-4 光口,端口,0.0,14700.0,0.0,
石家庄,元氏管理站,通信系统,通信传输,以太网接口,端口,0.0,7300.0,0.0,
石家庄,元氏管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
石家庄,元氏管理站,通信系统,通信交换,IAD接入设备,台,0.0,4300.0,0.0,
石家庄,元氏管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,元氏管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,元氏管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,赵同管理站,通信系统,通信交换,IAD接入设备,台,0.0,4300.0,0.0,
石家庄,赵同管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,赵同管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,赵同管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,赵县管理站,通信系统,通信交换,IAD接入设备,台,0.0,4300.0,0.0,
石家庄,赵县管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,赵县管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,赵县管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,赵县管理站,通信系统,通信交换,IAD接入设备,台,0.0,4300.0,0.0,
石家庄,赵县管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,赵县管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,赵县管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,赞皇管理站,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
石家庄,赞皇管理站,通信系统,通信传输,STM-4 光口,端口,0.0,14700.0,0.0,
石家庄,赞皇管理站,通信系统,通信传输,以太网接口,端口,0.0,7300.0,0.0,
石家庄,赞皇管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
石家庄,赞皇管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,赞皇管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,赞皇管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,赞皇管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,高邑渠首管理站,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
石家庄,高邑渠首管理站,通信系统,通信传输,STM-64光接口板,块,0.0,78400.0,0.0,
石家庄,高邑渠首管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
石家庄,高邑渠首管理站,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
石家庄,高邑渠首管理站,通信系统,通信传输,STM-4 光口,端口,0.0,14700.0,0.0,
石家庄,高邑渠首管理站,通信系统,通信传输,以太网接口,端口,0.0,7300.0,0.0,
石家庄,高邑渠首管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
石家庄,高邑渠首管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,高邑渠首管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,高邑渠首管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,高邑渠首管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,高邑末端管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,高邑末端管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,高邑末端管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,高邑末端管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,64晋州管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,64晋州管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,64晋州管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,64晋州管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,65藁城管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,65藁城管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,65藁城管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,65藁城管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,66辛集管理站,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
石家庄,66辛集管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
石家庄,66辛集管理站,通信系统,通信交换,MDF告警采集,套,0.0,5500.0,0.0,
石家庄,66辛集管理站,通信系统,通信交换,话机,部,0.0,95.0,0.0,
石家庄,田庄渠首管理站,通信系统,通信传输,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
石家庄,田庄渠首管理站,通信系统,通信传输,STM-4 光口,端口,0.0,14700.0,0.0,
石家庄,田庄渠首管理站,通信系统,通信传输,以太网接口,端口,0.0,7300.0,0.0,
石家庄,田庄渠首管理站,通信系统,通信传输,安装材料,套,0.0,2900.0,0.0,
石家庄,田庄渠首管理站,通信系统,通信交换,IAD接入设备,台,0.0,4300.0,0.0,
石家庄,田庄渠首管理站,通信系统,通信交换,MDF配线模块,套,0.0,860.0,0.0,
